"objectid","rd20full","length_mi","class","xstrt1","xstrt2","district","sapid","iamfloc"
"1728","TORREY HIGHLANDS PATH","0.49051630","Class I","GRAYDON RD","END","1","No Segment ID","No IAMFLOC ID"
"1729","HARBOR DR","0.22551204","Class II","SAMPSON ST","SCHLEY ST","8","SS-013030","SS-013030"
"1730","CONGRESS ST","0.06640160","Class III","ARISTA ST","CONDE ST","2","SS-007799","SS-007799"
"1731","FANUEL ST","0.06645313","Class III","MISSOURI ST","CHALCEDONY ST","1","SS-010891",""
"1732","FRIARS RD","0.12886971","Class II","FRIARS RD RA","MISSION CENTER RD","3","SS-011495","SS-011495"
"1733","PEARL ST","0.06230236","Class III","HERSCHEL AV","HIGH AV","1","SS-021523","SS-021523"
"1734","CRYSTAL DR","0.09372490","Class III","WRELTON DR","CHELSEA ST","1","SS-008318","SS-008318"
"1735","MARKET ST","0.13753412","Class III","36TH ST","GATEWAY CENTER DR","9","SS-017594","SS-017594"
"1736","CATALINA BL","0.06766280","Class III","PIO PICO ST","DUPONT ST","2","SS-031029","SS-031029"
"1737","CARMEL CREEK RD","0.18347119","Class II","CARMEL GROVE RD","DEL MAR TRAILS RD","1","SS-006385","SS-006385"
"1738","DEL MAR HEIGHTS RD","0.03099128","Class III","NOGALES DR","CREST WY","1","SS-008966","SS-008966"
"1739","HILLERY DR","0.22650161","Class II","BLACK MTN RD","WESTVIEW PY","6","SS-030563","SS-030563"
"1740","SAN ANDRES DR","0.03208398","Class II","VIA DE LA VALLE","FLOWER HILL DR","1","SS-023976","SS-023976"
"1741","MESA MADERA DR","0.06048043","Class III","RED CEDAR DR","WIDE VALLEY LN","5","SS-018173",""
"1742","WEST POINT LOMA BL","0.04760916","Class II","NIMITZ BL","NIMITZ BL RA","2","SS-028534","SS-028534"
"1743","CLAIREMONT MESA BL","0.03021610","Class II","ESCARCHOSA LN","ANTIGUA BL","7","SS-007295",""
"1744","W LEWIS ST","0.05132572","Class II","LARK ST","RANDOLPH ST","3","SS-029899",""
"1745","POTOMAC ST","0.04593475","Class III","CALLE SERENA","CALLE TREPADORA","4","SS-022294",""
"1746","22ND ST","0.06772450","Class III","J ST","ISLAND AV","8","SS-000484","SS-000484"
"1747","MORENA BL","0.07293427","Class II","MORENA BL RA","BALBOA AV","2","SS-019011",""
"1748","MISSION GORGE RD","0.31664331","Class II","ZION AV","ALLIED RD","7","SS-018593","SS-018593"
"1749","SCHOLARS DR","0.41241193","Class II","PANGES DR","NORTHPOINT DR","1","No Segment ID","No IAMFLOC ID"
"1750","CHATSWORTH BL","0.06252110","Class III","WAWONA DR","POE ST","2","SS-007034",""
"1751","BLACK MTN RD","0.21054243","Class II","TRUMAN ST","ADOLPHIA ST","5","SS-004342","SS-004342"
"1752","BERNARDO HEIGHTS PY","0.24270932","Class II","AVNDA VILLAHA","PASEO LUCIDO","5","SS-004071","SS-004071"
"1753","SPORTS ARENA BL","0.20084524","Class II","KEMPER ST","HANCOCK ST","2","SS-025374",""
"1754","CARMEL MTN RD","0.22790765","Class II","VIA RIMINI","VIA SAN MARCO","5","SS-006415","SS-006415"
"1755","UNIVERSITY AV","0.09165952","Class III","HERBERT ST","CENTRE ST","3","SS-027204",""
"1756","LANDIS ST","0.05754652","Class III","ARNOLD AV","VILLA TR","3","SS-015996","SS-015996"
"1757","BLUEBIRD LN","0.11029575","Class III","EXCHANGE PL","PROSPECT PL","1","SS-004466","SS-004466"
"1758","CHATSWORTH BL","0.06856770","Class II","GARRISON ST","MILAN ST","2","SS-007028",""
"1759","HOTEL CIRCLE SOUTH","0.68721183","Class III","HOTEL CIRCLE CT","HOTEL CIRCLE NORTH","3","SS-013797",""
"1760","ROSECRANS ST","0.04715204","Class II","QUIMBY ST","LANING RD","2","SS-023560",""
"1761","BLACK MTN RD","0.12437169","Class II","MORNING BREEZE WY","CAPRICORN WY","6","SS-004349",""
"1762","NOBEL DR","0.29105587","Class II","SHORELINE DR","JUDICIAL DR","6","SS-019970","SS-019970"
"1763","SWIFT AV","0.07085388","Class II","LANDIS ST","WIGHTMAN ST","9","SS-026019","SS-026019"
"1764","IMPERIAL AV","0.04204019","Class II","GANNET ST","MERLIN DR","4","SS-014013","SS-014013"
"1765","OCEAN VIEW BL","0.11439782","Class III","I-15 NB OFF RA","S 36TH ST","9","SS-020306","SS-020306"
"1766","VOLTAIRE ST","0.02791879","Class III","WABASKA DR","SAN CLEMENTE ST","2","SS-028138","SS-028138"
"1767","SUNSET BL","0.07102335","Class II","ARDEN WY","INGLESIDE AV","3","SS-025867",""
"1768","MARYLAND ST","0.08401530","Class II","MARYLAND CT","MADISON AV","3","SS-017715","SS-017715"
"1769","MAIN ST","0.12561203","Class III","BEARDSLEY ST","CESAR E CHAVEZ PY","8","SS-017241",""
"1770","NORTH HARBOR DR","0.16293620","Class II","W LAUREL ST","W LAUREL ST","2","SS-020064","SS-020064"
"1771","STONEBRIDGE PY","0.08503064","Class II","EDEN MILLS PL","SYCAMORE TRAIL RD","6","SS-031683",""
"1772","PACIFIC HY","0.07178053","Class IV (One-Way)","W BEECH ST","W CEDAR ST","3","SS-020917",""
"1773","BARCLAY AV","0.15997969","Class III","ELDRIDGE ST","GALEWOOD ST","7","SS-003568","SS-003568"
